,0,1
0,"It wasn’t enough, but Nikola Jokic put on a show",1
1,"There are no silver linings in a loss to the division, but if the Denver Nuggets could take anything away from their first game after the All-Star break, it was that Nikola Jokic is playing his best basketball.",2
2,"The Thunder won this game 113-101 over the Nuggets, but while Jokic was out there, the score was close to even in the plus-minus department. That was almost entirely due to Jokic himself, who finished the game with 32 points on 12-of-15 from the field, 7 rebounds, and 5 assists. Jokic had 19 points in the first half alone, thoroughly dominating his matchup with center Steven Adams. He scored on a variety of post moves, jumpers, and rebound put backs to keep Denver close in this one.",3
3,"Jokic has been the one constant in Denver’s rotation this year, starting every single game, playing big minutes, and upping his performance as the months go on. As the Nuggets round into form during the rest of the regular season, they need their best players to bring it every night. If performances like tonight are any indication, that will be no problem for the Joker.",4
4,"It wasn’t enough, but Nikola Jokic put on a show",1
5,"There are no silver linings in a loss to the division, but if the Denver Nuggets could take anything away from their first game after the All-Star break, it was that Nikola Jokic is playing his best basketball.",2
6,"The Thunder won this game 113-101 over the Nuggets, but while Jokic was out there, the score was close to even in the plus-minus department. That was almost entirely due to Jokic himself, who finished the game with 32 points on 12-of-15 from the field, 7 rebounds, and 5 assists. Jokic had 19 points in the first half alone, thoroughly dominating his matchup with center Steven Adams. He scored on a variety of post moves, jumpers, and rebound put backs to keep Denver close in this one.",3
7,"Jokic has been the one constant in Denver’s rotation this year, starting every single game, playing big minutes, and upping his performance as the months go on. As the Nuggets round into form during the rest of the regular season, they need their best players to bring it every night. If performances like tonight are any indication, that will be no problem for the Joker.",4
8,"The Denver Nuggets (38-17) visit the Oklahoma City Thunder (33-22) for a Friday 8 p.m. ET tip-off at Chesapeake Energy Arena. We analyze the Nuggets-Thunder odds and lines, with NBA betting advice and tips around the matchup.",1
9,"Get some action on this game or others by placing a bet at BetMGM.
",2
10,Nuggets,3
11,Thunder,4
12,NBA odds courtesy of BetMGM; access USA TODAY Sports for a full set of today’s betting odds. Odds last updated at 2:30 p.m. ET.,5
13,"Nuggets 108, Thunder 103",6
14,"The Nuggets continued their domination of the Thunder in their first meeting back on Dec. 14, winning 110-102 for their seventh consecutive victory in the rivalry. Additionally, the Nuggets have played great against division foes, going 9-0 vs. Northwest Division clubs, averaging a 9.6 margin of victory. For all the love Denver receives as a home team, it should get more praise for having the fifth-highest winning percentage in road games. What jumped out at me and makes me confident in betting the NUGGETS (+100) to win outright is the edge they have in Per 100 Possession categories. Both teams are having a great season, but Denver is ranked seventh in offensive rating and 10th in defensive rating; Oklahoma City is 14th in offensive rating and 12th in defensive rating. ",7
15,New to sports betting? Bet $100 on the Nuggets (even/+100) to earn a $100 profit if they win outright.,8
16,The Thunder -1.5 (-110) are a slight favorite. One needs to lay -110 to get 1.5 points of insurance to back the Nuggets. Let’s PASS since we have a narrow line and should just play the moneyline. Here are some ATS trends that strengthen our ML handicap:,9
17,"The last two Nuggets-Thunder meetings went Under the projected total and the Nuggets have a 2-7 O/U record in games against division opponents. Their combined O/U record is 52-57-1 so the game is most likely to go Under. Also, these teams have played a combined three games with four or more rest days and the O/U record is 0-3 in those games. I lean UNDER 216.5 (-115).",10
18,"Want some action on this game? Place a bet at BetMGM now. For more sports betting tips and advice, visit SportsbookWire.com. 
",11
19,Follow @Geoffery_Clark and @SportsbookWire on Twitter.,12
